id,nombre,cargo,seccion
"1","Luis Angel Ramirez Vargas","Alcalde","Despacho del alcalde"
"2","Jairo Garzón Conde","Secretario","Secretaria general y de gobierno"
"3","Alfredo Charry Medina","Secretario","Secretaria de hacienda"
"4","Ana Maria Conde Garzon","Secretaria","Secretaria de protección social"
"5","Alexander Pulecio Charry","Secretario","Secretaria de planeación"
"6","Daniela Ramirez Chavarro","Secretaria","Secretaria de infraestructura"
"7","Javier Charry Bonilla","Secretario","Secretaria de desarrollo económico"
"8","Maria Ximena Martin Charry","Secretaria","Secretaria de tránsito"
"9","Joan Orlando Garay Diaz","Inspector","Inspección de policía"
"10","Helenohora Llanos Diaz","Comisaria","Comisaria de familia"
"11","Luis Angel Ramirez Vargas","Alcalde","Despacho del alcalde"
"12","Jairo GarzÃ³n Conde","Secretario","Secretaria general y de gobierno"
"13","Alfredo Charry Medina","Secretario","Secretaria de hacienda"
"14","Ana Maria Conde Garzon","Secretaria","Secretaria de protecciÃ³n social"
"15","Alexander Pulecio Charry","Secretario","Secretaria de planeaciÃ³n"
"16","Daniela Ramirez Chavarro","Secretaria","Secretaria de infraestructura"
"17","Javier Charry Bonilla","Secretario","Secretaria de desarrollo econÃ³mico"
"18","Maria Ximena Martin Charry","Secretaria","Secretaria de trÃ¡nsito"
"19","Joan Orlando Garay Diaz","Inspector","InspecciÃ³n de policÃ­a"
"20","Helenohora Llanos Diaz","Comisaria","Comisaria de familia"
"21","Luis Angel Ramirez Vargas","Alcalde","Despacho del alcalde"
"22","Jairo GarzÃ³n Conde","Secretario","Secretaria general y de gobierno"
"23","Alfredo Charry Medina","Secretario","Secretaria de hacienda"
"24","Ana Maria Conde Garzon","Secretaria","Secretaria de protecciÃ³n social"
"25","Alexander Pulecio Charry","Secretario","Secretaria de planeaciÃ³n"
"26","Daniela Ramirez Chavarro","Secretaria","Secretaria de infraestructura"
"27","Javier Charry Bonilla","Secretario","Secretaria de desarrollo econÃ³mico"
"28","Maria Ximena Martin Charry","Secretaria","Secretaria de trÃ¡nsito"
"29","Joan Orlando Garay Diaz","Inspector","InspecciÃ³n de policÃ­a"
"30","Helenohora Llanos Diaz","Comisaria","Comisaria de familia"
