ID | Nombre | Cargo | Sección
---+--------+-------+--------
3 | Alfredo Charry Medina | Secretario | Secretaria de hacienda
4 | Ana Maria Conde Garzon | Secretaria | Secretaria de protección social
6 | Daniela Ramirez Chavarro | Secretaria | Secretaria de infraestructura
10 | Helenohora Llanos Diaz | Comisaria | Comisaria de familia
2 | Jairo Garzón Conde | Secretario | Secretaria general y de gobierno
7 | Javier Charry Bonilla | Secretario | Secretaria de desarrollo económico
5 | Jhon Alexander Pulecio Charry | Secretario | Secretaria de planeación
1 | Luis Angel Ramirez Vargas | Alcalde | Despacho del alcalde
8 | Maria Ximena Martin Charry | Secretaria | Secretaria de tránsito
9 | Yoan Orlando Garay Diaz | Inspector | Inspección de policía
