ID,Pregunta,Categoría
"10","Cumplimiento de metas","Desempeño"
"9","Eficiencia en la gestión de los recursos","Desempeño"
"12","Ejercicio adecuado del cargo","Desempeño"
"11","Proyectos estratégicos con resultados concretos","Desempeño"
"13","Uso adecuado del tiempo de trabajo","Desempeño"
"3","Aptitud y honestidad","Personal"
"5","Comunicación y empatía","Personal"
"1","Integridad y ética","Personal"
"2","Respeto, dignidad y decoro","Personal"
"4","Veracidad y cumplimiento","Personal"
"7","Capacidad para resolver problemas","Profesional"
"6","Liderazgo y gestión de equipos","Profesional"
"8","Transparencia y eficiencia en la toma de decisiones","Profesional"
